GM,EntryYear,EntryClub,PlayersDrafted,NorthStar,NorthStarRank,PERC,FBC,Mental,WorkEthic,Passion,Coach,Teammate,Leader,Dependability,Confidence,LifeSkills,ManagementOfCollegeLife,Relationships,OffField,MentalOverall,SDTotal,CombineInvites,UCWatch,EntryAge,SRB,isPower5,isFBS,isFCS,isD2,HTAvg,WTAvg,ArmAvg,Avg40Avg,OL,DL,OLB,ILB,DS,DC,RB,WR,QB,TE,GS,GP,GM2,GMI,GMO,GPI,GI,AvgEvalCount,NormalizedAvg,AAAvg,EXPAvg,SpdAvg,StrAvg,CmpsAvg,TghsAvg,FBIAvg,Day1PicksPercentile,Day2PicksPercentile,Day3PicksPercentile,avgEPAR
Steve Keim,2017,ARZ,7,2.09077381,99,2.142857,2.071428,2,1.928571,1.714285,2.214285,2.142857,2.714285,1.857142,1.928571,2.071428,2.071428,2,2.142857,NULL,2.653819734,0.857142857,0.142857143,22.871428,0.571428571,0.714285714,0.857142857,0.142857143,0,57,70,57,38,2,0,0,1,2,0,1,0,0,0,34,45.42857143,0.714285714,0,0,0,0,4.285714286,3.75,2.185714,2.542857,1.971428,2.828571,1.828571,2.042857,2.385714,0.142857143,0.285714286,0.571428571,0.662578194
Steve Keim,2018,ARZ,6,1.935672515,42,2.083333,1.916666,1.883333,1.9,1.96,1.96,1.8,2.26,1.86,1.64,1.8,2.25,1.8,2.083333,NULL,3.207775276,0.833333333,0.333333333,22.383333,0.333333333,0.666666667,0.833333333,0.166666667,0,45,41,47,51,2,0,0,0,0,1,1,0,1,0,32.66666667,39.16666667,6.5,0,0,0.333333333,0,4,4.218333,2.45,2.866666,2.633333,2.916666,2.166666,2.5,2.016666,0.166666667,0.333333333,0.5,0.71157189
Steve Keim,2019,ARZ,12,2.101084011,104,2.083333,2.066666,1.958333,1.983333,1.833333,2.1,2,2.558333,2.1,2.016666,2.291666,2.125,2.208333,2.166666,NULL,0.597928269,0.833333333,0.416666667,22.675,0.25,0.666666667,0.916666667,0.083333333,0,55,61,44,51,2,2,0,0,2,1,0,0,1,1,27.83333333,38.66666667,12.16666667,2.083333333,2.833333333,0.5,0,5.25,4.254166,2.291666,2.933333,2.491666,2.958333,2.283333,2.416666,2.316666,0.083333333,0.25,0.666666667,0.828034995
Steve Keim,2020,ARZ,6,2.453756316,237,2.216666,2.666666,2.5,2.666666,2,2.5,2.5,3.083333,2.5,2.25,2.333333,2.433333,2.083333,2.25,2.5,0.589897361,1,0.333333333,22.133333,0.666666667,0.833333333,1,0,0,45,41,35,50,1,2,0,2,0,0,1,0,0,0,31.83333333,43.83333333,9.333333333,2.5,2.5,2.5,0.5,10.16666667,3.801666,2.9,3.216666,3.083333,2.766666,2.466666,2.566666,2.966666,0.166666667,0.166666667,0.666666667,0.798751156
Steve Keim,2021,ARZ,7,1.808403361,14,1.885714,1.828571,1.928571,1.785714,1.285714,1.785714,1.785714,2.071428,1.428571,1.714285,2,2.028571,1.9,1.757142,2.071428,3.408910791,0.857142857,0.571428571,22.842857,0,0.571428571,1,0,0,50,50,70,34,1,1,1,1,1,2,0,0,0,0,27.85714286,33.85714286,12.28571429,5.714285714,0.285714286,0.571428571,1,9.142857143,3.931428,2.642857,2.771428,2.885714,3.028571,2.528571,2.785714,2.714285,0.142857143,0.142857143,0.714285714,0.819695604
Steve Keim,2022,ARZ,8,2.243627451,175,2.385714,2.242857,2.242857,2.242857,1.614285,2.042857,2.1,2.528571,2.185714,2,2.571428,2.357142,2,2.385714,2.671428,0.93194531,0.875,0.125,23.7,0.75,0.5,0.875,0,0.125,43,48,54,51,2,3,3,0,0,1,1,0,0,1,27.5,37.25,8.5,1.25,0.125,0.25,1.125,6.5,4.52875,3.175,3.225,3.275,3.1125,2.5375,2.6625,3.075,0,0.375,0.625,0.753134259
Monti Ossenfort,2023,ARZ,9,1.925214998,36,1.633333,1.855555,2.111111,2,1.666666,1.777777,1.777777,2.444444,1.666666,2,1.888888,1.833333,1.888888,1.777777,2,3.72250865,1,0.444444444,22.888888,0.222222222,1,1,0,0,61,61,50,32,2,2,1,1,0,2,0,0,1,0,32.55555556,41.88888889,7.888888889,4.444444444,0.444444444,0.666666667,1.444444444,7.777777778,4.447777,2.944444,2.933333,3,3.233333,2.677777,2.855555,3.122222,0.111111111,0.333333333,0.555555556,0.701754501
Monti Ossenfort,2024,ARZ,12,2.324662638,204,2.166666,2.191666,2.708333,2.208333,2.041666,2.125,2.041666,2.875,2.208333,2.416666,2.375,2.333333,2.208333,2.208333,2.666666,1.904744508,0.833333333,0.25,23.475,0.416666667,0.916666667,1,0,0,47,50,46,39,2,2,2,0,1,3,1,0,0,1,31.33333333,47.75,7.25,2.583333333,0.416666667,0.416666667,1.333333333,7.166666667,4.415833,3.008333,2.983333,2.966666,2.991666,2.816666,3,3.108333,0.166666667,0.416666667,0.416666667,0.653815892
Thomas Dimitroff,2017,ATL,6,2.125,113,2.333333,2,1.75,1.666666,1.5,1.916666,2,2.5,2.083333,2.083333,2.416666,2.583333,2.416666,2.333333,NULL,0.481330477,1,0.166666667,22.766666,0.5,0.5,0.833333333,0.166666667,0,56,52,47,45,1,1,1,1,0,1,1,0,0,1,29.83333333,40,3,0,0,0,0,4.166666667,4.256666,2.383333,2.383333,2.483333,2.95,1.716666,2.283333,2.383333,0.166666667,0.166666667,0.666666667,0.730359776
Thomas Dimitroff,2018,ATL,6,2.020915033,66,1.916666,2.083333,2.083333,1.866666,1.833333,2.166666,1.633333,2.833333,1.75,2.166666,2.083333,1.833333,1.916666,1.833333,NULL,0.654379498,0.5,0.333333333,23.066666,0.166666667,0.5,0.833333333,0.166666667,0,60,50,48,50,0,1,0,1,0,1,1,0,0,0,29.16666667,40.83333333,5.666666667,0,0,0.5,0,5.166666667,4.54,1.9,2.6,2.45,3,2.033333,2.516666,2.166666,0.166666667,0.333333333,0.5,0.773074445
